SUB_CRITERIO;CRITERIO;FECHA_INMUNIZACION;1aDOSIS1;2aDOSIS1;ÚnicaDOSIS
Adm. apoyo no clinico FFAA y de orden;Personal de salud;18/01/2021;5;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;19/01/2021;16;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;20/01/2021;1;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;02/02/2021;6;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;03/02/2021;179;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;04/02/2021;253;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;05/02/2021;317;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;06/02/2021;98;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;07/02/2021;4;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;08/02/2021;534;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;09/02/2021;369;22;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;10/02/2021;412;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;11/02/2021;323;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;12/02/2021;217;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;13/02/2021;22;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;14/02/2021;4;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;15/02/2021;196;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;16/02/2021;145;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;17/02/2021;144;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;18/02/2021;94;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;19/02/2021;81;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;20/02/2021;2;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;22/02/2021;78;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;23/02/2021;44;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;24/02/2021;45;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;25/02/2021;62;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;26/02/2021;57;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;27/02/2021;40;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;01/03/2021;81;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;02/03/2021;111;7;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;03/03/2021;54;205;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;04/03/2021;81;250;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;05/03/2021;36;271;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;06/03/2021;3;88;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;07/03/2021;;1;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;08/03/2021;54;482;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;09/03/2021;67;372;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;10/03/2021;57;403;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;11/03/2021;52;292;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;12/03/2021;99;201;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;13/03/2021;11;27;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;14/03/2021;;2;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;15/03/2021;48;193;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;16/03/2021;49;156;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;17/03/2021;73;181;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;18/03/2021;49;110;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;19/03/2021;48;97;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;20/03/2021;2;5;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;21/03/2021;1;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;22/03/2021;29;85;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;23/03/2021;20;65;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;24/03/2021;29;56;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;25/03/2021;33;60;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;26/03/2021;184;44;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;27/03/2021;4;2;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;29/03/2021;20;70;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;30/03/2021;22;124;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;31/03/2021;9;69;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;01/04/2021;13;74;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;03/04/2021;;1;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;05/04/2021;16;66;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;06/04/2021;24;51;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;07/04/2021;6;45;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;08/04/2021;18;72;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;09/04/2021;5;106;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;10/04/2021;;3;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;11/04/2021;1;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;12/04/2021;8;53;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;13/04/2021;7;52;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;14/04/2021;11;61;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;15/04/2021;11;57;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;16/04/2021;14;37;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;17/04/2021;;4;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;19/04/2021;17;97;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;20/04/2021;9;26;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;21/04/2021;2;38;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;22/04/2021;6;44;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;23/04/2021;4;76;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;24/04/2021;;4;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;26/04/2021;2;38;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;27/04/2021;6;22;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;28/04/2021;1;11;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;29/04/2021;1;13;
